"ENTREZID","baseMean","log2FoldChange","lfcSE","pvalue","padj","SYMBOL","GENENAME","DEG_status","gene_label"
"22941",51.4736539716189,0.00539061653372869,0.0655252908611498,0.000901491892070728,0.111958358442168,"SHANK2","SH3 and multiple ankyrin repeat domains 2","Not_significant","SHANK2"
"8115",123.697067199637,4.55304097291125,1.01120891038898,0.000891235649766737,0.111958358442168,"TCL1A","TCL1 family AKT coactivator A","Not_significant","TCL1A"
"140838",779.728313074759,-0.510426454124992,0.248588376197341,0.000944103707109204,0.114120101954979,"NANP","N-acetylneuraminic acid phosphatase","Not_significant","NANP"
"143662",50.8329690723087,-0.00424545340024881,0.0656176981810386,0.000932200690454839,0.114120101954979,"MUC15","mucin 15, cell surface associated","Not_significant","MUC15"
"2568",160.540908727193,-0.0103688362979952,0.0665985725864345,0.000939143488804575,0.114120101954979,"GABRP","gamma-aminobutyric acid type A receptor subunit pi","Not_significant","GABRP"
"375057",299.360179898519,-0.0154098114926218,0.0680342367821039,0.000950205284311455,0.114120101954979,"STUM","stum, mechanosensory transduction mediator homolog","Not_significant","STUM"
"4435",1523.69416768202,-0.0110300023954347,0.0667583938167613,0.000954240555213514,0.114120101954979,"CITED1","Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 1","Not_significant","CITED1"
"10162",1753.66401103395,0.613497784577201,0.275795323318502,0.000966914544054705,0.114785553777671,"LPCAT3","lysophosphatidylcholine acyltransferase 3","Not_significant","LPCAT3"
"6288",316.926723181601,4.45913267800248,0.961281247321756,0.000979402167041972,0.115419328371479,"SAA1","serum amyloid A1","Not_significant","SAA1"
"1828",94.6924197475282,-0.00473160756174087,0.0656661961317526,0.00100190118201583,0.117215178142359,"DSG1","desmoglein 1","Not_significant","DSG1"
"6382",1584.67507909504,0.00310927024834942,0.0650012990765072,0.00101503631208174,0.117897563011221,"SDC1","syndecan 1","Not_significant","SDC1"
"56978",136.813588686714,1.68817490712788,0.736625105711726,0.0010286858608897,0.11862952302903,"PRDM8","PR/SET domain 8","Not_significant","PRDM8"
"57451",86.2584283953459,-0.0021615871110618,0.0653260152622193,0.00105492225034402,0.120792338523434,"TENM2","teneurin transmembrane protein 2","Not_significant","TENM2"
"8527",1173.3441420031,0.56304484340567,0.257219251201087,0.00106644923803899,0.121252274282672,"DGKD","diacylglycerol kinase delta","Not_significant","DGKD"
"23682",5820.39180549873,-0.0163596054621506,0.0683637130279895,0.00108251041701462,0.122217697081826,"RAB38","RAB38, member RAS oncogene family","Not_significant","RAB38"
"221188",129.685023716588,1.77829241749135,0.786632161230941,0.00112625475191507,0.124544634816346,"ADGRG5","adhesion G protein-coupled receptor G5","Not_significant","ADGRG5"
"26279",1150.90004501929,2.38987075160594,1.027439989944,0.00111629298321555,0.124544634816346,"PLA2G2D","phospholipase A2 group IID","Not_significant","PLA2G2D"
"343637",42.6103471307368,-0.00405666524588083,0.0655183446783582,0.00112626303395395,0.124544634816346,"RSPO4","R-spondin 4","Not_significant","RSPO4"
"23240",1439.40690929358,0.706324718302235,0.329441013998903,0.00114893980433441,0.125335359060669,"TMEM131L","transmembrane 131 like","Not_significant","TMEM131L"
"387751",665.553575439045,1.45564364255437,0.655409139853429,0.0011455255713929,0.125335359060669,"GVINP1","GTPase, very large interferon inducible pseudogene 1","Not_significant","GVINP1"
"56477",531.7644471651,-0.038041438338902,0.0822818966980379,0.0011771869985393,0.127554926788033,"CCL28","C-C motif chemokine ligand 28","Not_significant","CCL28"
"342667",39.3333338719999,-0.0102726903487445,0.0666020908171737,0.0011944893355674,0.128566868818238,"STAC2","SH3 and cysteine rich domain 2","Not_significant","STAC2"
"389206",40.6565990446092,2.69764730509412,1.1730397564834,0.00122036857085616,0.130143652598564,"BEND4","BEN domain containing 4","Not_significant","BEND4"
"4213",558.793930453531,-0.0621174324055497,0.117969822111778,0.00122526077392268,0.130143652598564,"MEIS3P1","Meis homeobox 3 pseudogene 1","Not_significant","MEIS3P1"
"9616",2385.60904187951,-0.438877176604892,0.218782813869697,0.00123791018269735,0.130627842481364,"RNF7","ring finger protein 7","Not_significant","RNF7"
"94121",280.452330885391,1.36300751548083,0.632099487680315,0.00128443774892734,0.134657451015791,"SYTL4","synaptotagmin like 4","Not_significant","SYTL4"
"27115",271.031668930088,0.00386855487395185,0.0648821405471154,0.00131046538707256,0.136499765640558,"PDE7B","phosphodiesterase 7B","Not_significant","PDE7B"
